Date,Close
5/3/2016,55.08
5/4/2016,54.81
5/5/2016,54.09
5/6/2016,53.6
5/9/2016,54.1
5/10/2016,54.68
5/11/2016,54.31
5/12/2016,54.12
5/13/2016,53.88
5/16/2016,54.65
5/17/2016,54.32
5/18/2016,54.67
5/19/2016,54.58
5/20/2016,55.11
5/23/2016,54.92
5/24/2016,55.6
5/25/2016,56.57
5/26/2016,56.39
5/27/2016,56.48
5/31/2016,56.26
6/1/2016,56.33
6/2/2016,56.82
6/3/2016,56.64
6/6/2016,57.17
6/7/2016,57
6/8/2016,57.62
6/9/2016,57.18
6/10/2016,56.81
6/13/2016,56.11
6/14/2016,56.25
6/15/2016,56.09
6/16/2016,57.5
6/17/2016,55.89
6/20/2016,56.14
6/21/2016,56.25
6/22/2016,57.04
6/23/2016,57.68
6/24/2016,55.88
6/27/2016,55.31
6/28/2016,55.58
6/29/2016,57.05
6/30/2016,57.61
7/1/2016,57.94
7/5/2016,58
7/6/2016,59.16
7/7/2016,58.78
7/8/2016,59.35
7/11/2016,59.34
7/12/2016,59.6
7/13/2016,59.55
7/14/2016,59.65
7/15/2016,59.63
7/18/2016,59.02
7/19/2016,58.66
7/20/2016,58.79
7/21/2016,58.79
7/22/2016,58.82
7/25/2016,58.56
7/26/2016,58.36
7/27/2016,58.6
7/28/2016,58.43
7/29/2016,58.66
8/1/2016,58.66
8/2/2016,58.33
8/3/2016,57.65
8/4/2016,57.84
8/5/2016,63.86
8/8/2016,62.86
8/9/2016,62.49
8/10/2016,62.64
8/11/2016,63.63
8/12/2016,63.35
8/15/2016,63.32
8/16/2016,63.04
8/17/2016,63.29
8/18/2016,63.63
8/19/2016,63.36
8/22/2016,63.55
8/23/2016,63.58
8/24/2016,62.73
8/25/2016,62.32
8/26/2016,62.85
8/29/2016,63.01
8/30/2016,62.71
8/31/2016,62.79
9/1/2016,62.9
9/2/2016,62.98
9/6/2016,63.24
9/7/2016,62.87
9/8/2016,63.24
9/9/2016,62.49
9/12/2016,63.19
9/13/2016,61.81
9/14/2016,61.35
9/15/2016,62.38
9/16/2016,62.28
9/19/2016,61.33
9/20/2016,61.94
9/21/2016,62.7
9/22/2016,63.02
9/23/2016,62.96
9/26/2016,62.15
9/27/2016,62.57
9/28/2016,63.3
9/29/2016,61.91
9/30/2016,62.41
10/3/2016,62.52
10/4/2016,62.46
10/5/2016,62.8
10/6/2016,62.66
10/7/2016,62.77
10/10/2016,63.9
10/11/2016,61.93
10/12/2016,61.66
10/13/2016,62.51
10/14/2016,62.14
10/17/2016,61.52
10/18/2016,62.09
10/19/2016,61.87
10/20/2016,61.92
10/21/2016,61.2
10/24/2016,60.75
10/25/2016,61.95
10/26/2016,60.87
10/27/2016,61.29
10/28/2016,58.84
10/31/2016,58.72
11/1/2016,59.3
11/2/2016,58.84
11/3/2016,58.43
11/4/2016,58.82
11/7/2016,60.05
11/8/2016,60.51
11/9/2016,64.18
11/10/2016,64.96
11/11/2016,63.95
11/14/2016,63.53
11/15/2016,63.65
11/16/2016,62.63
11/17/2016,62.7
11/18/2016,61.87
11/21/2016,62.3
11/22/2016,61.7
11/23/2016,61.64
11/25/2016,62.21
11/28/2016,61.8
11/29/2016,62.19
11/30/2016,61.19
12/1/2016,60.76
12/2/2016,61.13
12/5/2016,60.25
12/6/2016,60.28
12/7/2016,60.06
12/8/2016,60.12
12/9/2016,61.23
12/12/2016,61.72
12/13/2016,61.79
12/14/2016,61.8
12/15/2016,62.37
12/16/2016,62.44
12/19/2016,61.14
12/20/2016,60.5
12/21/2016,59.43
12/22/2016,59.58
12/23/2016,59.56
12/27/2016,59.79
12/28/2016,59.27
12/29/2016,59.04
12/30/2016,58.87
1/3/2017,60.15
1/4/2017,60.13
1/5/2017,60.11
1/6/2017,60.27
1/9/2017,61.1
1/10/2017,59.92
1/11/2017,61.63
1/12/2017,62.21
1/13/2017,62.34
